cvopldata	vacopldata	cvoplnaam	vacoplnaam
				
1761	135	mbo/ mts	hbo	
34	44	hbo	mbo/ mts	
417	200	universitair	hbo/ hts	
1	1	vwo	certificaat	
96	13	vmbo	universitair	
8	10	wo	wo	
99	11	lbo/ lts	mbo	
1697		hbo/ hts	
21		ongeschoold	
5		mbo	
11		nvt.	
