date,price
2014-01-12,4498
2014-01-13,13450
2014-01-14,7950
2014-01-15,7900
2014-01-16,7850
2014-01-17,7900
2014-01-18,7900
2014-01-19,5001
2014-01-21,5060
2014-01-22,12116
